median_income,percent_college,percent_lunch,percent_married,rate_unemployment,school_level,school_type,state,year,zip_code,average_act,region
47045.0,0.709631728045326,0.996328029375765,0.0506329113924051,0.157769304099142,High,Regular School,PA,2016-2017,19130,18.028083028083,NE
35410.0,0.499123575810692,0.431372549019608,0.529360967184801,0.124807395993837,High,Regular School,MI,2016-2017,49677,18.4,LK
79491.0,0.595070422535211,0.138766519823789,0.843700159489633,0.0786705931846866,High,Regular School,NJ,2016-2017,7405,21.1782661782662,NE
31935.0,0.440021810250818,0.517965726920951,0.548566142460685,0.081267217630854,High,Regular School,TX,2016-2017,79924,17.979242979243,S
102346.0,0.879286694101509,0.380036079374624,0.943606923506421,0.0345354523227384,High,Regular School,NC,2016-2017,28078,19.7863247863248,SE
44813.0,0.511032028469751,0.378164556962025,0.878143133462282,0.0641509433962264,High,Regular School,KY,2016-2017,42211,18.5,LK
42981.0,0.601769911504425,0.121852970795569,1.0,0.110018438844499,High,Regular School,MA,2016-2017,2333,22.008547008547,NE
18750.0,0.514893617021277,0.994623655913978,0.139616055846422,0.340227507755946,High,Regular School,PA,2016-2017,19123,17.002442002442,NE
60668.0,0.525082044069386,0.266393442622951,0.800536672629696,0.0192107995846314,High,Regular School,TX,2016-2017,78147,21.1782661782662,S
25625.0,0.322818791946309,0.674308300395257,0.28673835125448,0.230019493177388,High,Regular School,FL,2016-2017,33610,17.5641025641026,SE
65687.0,0.599240265906933,0.211625794732062,0.894108280254777,0.0548933500627353,High,Regular School,KY,2016-2017,42104,21.4,LK
60664.0,0.426398852223816,0.41699604743083,0.671859296482412,0.0911090166509582,High,Regular School,LA,2016-2017,70552,19.9,S
35500.0,0.437826541274817,0.536423841059603,0.56145251396648,0.10752688172043,High,Regular School,KY,2016-2017,40484,19.6,LK
37371.0,0.570912375790425,0.357414448669202,0.701594533029613,0.105722599418041,High,Regular School,WI,2016-2017,54241,21.8,LK
44836.0,0.515311510031679,0.990936555891239,0.292307692307692,0.0910724985020971,High,Regular School,NY,2016-2017,10473,15.9279609279609,NE
41422.0,0.430395913154534,0.315673289183223,0.475550122249389,0.106336489439184,High,Regular School,TX,2016-2017,76048,21.6666666666667,S
48545.0,0.537400530503979,0.281220657276995,0.610476190476191,0.0710754017305315,High,Regular School,WA,2016-2017,98604,21.3980463980464,NW
54333.0,0.520498392282958,0.333333333333333,0.615698267074414,0.0810681926561755,High,Regular School,IN,2016-2017,47448,21.1831501831502,LK
45553.0,0.726033233915637,0.216577540106952,0.398830409356725,0.122268470343392,High,Regular School,MI,2016-2017,48076,21.0,LK
66198.0,0.782119763845938,0.225600784698382,0.76231884057971,0.0411328388401888,High,Regular School,KY,2016-2017,40243,21.2,LK
37435.0,0.551401869158878,0.271375464684015,0.563577586206897,0.0809435707678076,High,Regular School,WI,2016-2017,54822,22.3,LK
60590.0,0.761027837259101,0.21156852527358,0.807719799857041,0.0501240694789082,High,Regular School,NC,2016-2017,27587,21.1782661782662,SE
21190.0,0.361454545454545,0.852173913043478,0.382165605095541,0.207063711911357,High,Regular School,NY,2016-2017,10458,14.7069597069597,NE
49183.0,0.736842105263158,0.211267605633803,0.621621621621622,0.0916149068322981,High,Regular School,WA,2016-2017,98221,23.1807081807082,NW
34375.0,0.722627737226277,0.353361945636624,0.485355648535565,0.0533104041272571,High,Regular School,TX,2016-2017,79410,21.0805860805861,S
49432.0,0.751362397820163,0.759878419452888,0.802881466928618,0.133198789101917,High,Regular School,MI,2016-2017,49506,16.0,LK
42996.0,0.708654670094259,0.544767441860465,0.645161290322581,0.0325688073394495,High,Regular School,IL,2016-2017,61201,17.6,LK
28710.0,0.314285714285714,0.428333333333333,0.462471569370735,0.1220703125,High,Regular School,OH,2016-2017,43160,21.0,LK
59347.0,0.477057164829531,0.277507302823759,0.648337595907928,0.0608265424912689,High,Regular School,FL,2016-2017,32011,18.1013431013431,SE
29126.0,0.686967113276492,0.500486854917235,0.330081300813008,0.104499274310595,High,Regular School,NC,2016-2017,27889,19.2979242979243,SE
41212.0,0.43646408839779,0.41747572815534,0.851239669421488,0.125989044430919,High,Regular School,MO,2016-2017,63825,19.2,LK
47172.0,0.574084199015856,0.386773547094188,0.66914710933028,0.0922924247436322,High,Regular School,GA,2016-2017,30650,20.1037851037851,SE
57953.0,0.519396551724138,0.222222222222222,0.778947368421053,0.0391280044717719,High,Regular School,WI,2016-2017,53525,22.2,LK
68059.0,0.523950617283951,0.495726495726496,0.682397959183674,0.0251068376068376,High,Regular School,OH,2016-2017,43430,21.0,LK
28295.0,0.287591240875912,0.884393063583815,0.0189873417721519,0.205940594059406,High,Regular School,WI,2016-2017,53206,14.0,LK
45865.0,0.531274131274131,0.380697050938338,0.721755368814192,0.0368530020703934,High,Regular School,MO,2016-2017,65262,20.4,LK
58763.0,0.652342738804038,0.56454491374182,0.930122116689281,0.165712650257584,High,Regular School,IL,2016-2017,60453,19.3,LK
93125.0,0.763727121464226,0.0698772426817753,0.891149542217701,0.0321248279027077,High,Regular School,OH,2016-2017,44256,24.0,LK
47283.0,0.428265524625268,0.396969696969697,0.782758620689655,0.06288532675709,High,Regular School,PA,2016-2017,16678,20.7387057387057,NE
43655.0,0.396445880452342,0.191379310344828,0.528301886792453,0.142639206712433,High,Regular School,PA,2016-2017,18103,22.3015873015873,NE
39438.0,0.509276437847866,0.565620857269112,0.499306518723994,0.140632847815168,High,Regular School,FL,2016-2017,32703,18.980463980464,SE
15852.0,0.363484087102178,0.768229166666667,0.0895765472312704,0.273504273504274,High,Regular School,FL,2016-2017,32805,17.1978021978022,SE
45308.0,0.797001620745543,0.253798033958892,0.536098310291859,0.0510168907273354,High,Regular School,WA,2016-2017,98225,23.6202686202686,NW
29322.0,0.394775570272259,0.707589285714286,0.328609986504723,0.167895878524946,High,Regular School,MO,2016-2017,64053,17.7,LK
57336.0,0.541472506989748,0.194260485651214,0.802116402116402,0.02843083652269,High,Regular School,IN,2016-2017,46051,21.4102564102564,LK
45111.0,0.394387001477105,0.479553903345725,0.686522262334537,0.0622480967308554,High,Regular School,KY,2016-2017,42220,18.4,LK
