median_income,percent_college,percent_lunch,percent_married,rate_unemployment,school_level,school_type,state,year,zip_code,average_act
42568.0,0.397631133671743,0.894472361809045,0.288557213930348,0.257804632426989,High,Regular School,LA,2016-2017,70049,20.0
65287.0,0.67868710861585,0.137575236457438,0.729341909945571,0.0904109589041096,High,Regular School,IL,2016-2017,62294,21.5
134853.0,0.922169811320755,0.0492012779552716,0.919885550786838,0.0538461538461538,High,Regular School,MI,2016-2017,48306,24.8
54405.0,0.569336778639104,0.413461538461538,0.642023346303502,0.011358024691358,High,Regular School,TX,2016-2017,77957,21.5689865689866
60158.0,0.619086460032626,0.201856148491879,0.732901367890569,0.0643153526970954,High,Regular School,GA,2016-2017,30549,22.5946275946276
82772.0,0.691554241360192,0.346330275229358,0.799202609641174,0.0973330737784699,High,Regular School,TN,2016-2017,38058,19.6
44253.0,0.422374429223744,0.532663316582915,0.659128978224456,0.109694862881421,High,Regular School,MO,2016-2017,65556,20.1
52857.0,0.513113651647613,0.259259259259259,0.601864181091877,0.0496209510682288,High,Regular School,NC,2016-2017,27511,23.9133089133089
114722.0,0.861919861631594,0.199728874830547,0.874407582938389,0.0589729119638826,High,Regular School,IL,2016-2017,60102,22.5
78750.0,0.725165562913907,0.177053824362606,0.932914046121593,0.00490196078431373,High,Regular School,OH,2016-2017,45806,24.0
60417.0,0.565134099616858,0.261421319796954,0.639566395663957,0.108868060562365,High,Regular School,PA,2016-2017,15050,22.1062271062271
51719.0,0.827258320126783,0.687385740402194,0.894308943089431,0.12202852614897,High,Regular School,OH,2016-2017,43219,15.0
52841.0,0.444561774023231,0.594915254237288,0.689858082381447,0.069559864573715,High,Regular School,WA,2016-2017,99326,18.6385836385836
41991.0,0.470995670995671,0.540675844806007,0.72960372960373,0.0609545715928695,High,Regular School,KY,2016-2017,40456,18.2
41329.0,0.489969135802469,0.533333333333333,0.550724637681159,0.100961538461538,High,Regular School,OH,2016-2017,44446,20.0
45313.0,0.274298056155508,0.416282642089094,0.530759951749095,0.0858652575957728,High,Regular School,KY,2016-2017,40050,18.5
49324.0,0.581314878892734,0.174058577405858,0.427841634738186,0.0397520058351568,High,Regular School,PA,2016-2017,17022,22.5946275946276
91758.0,0.74927421483241,0.230656934306569,0.948247978436658,0.0821831869510665,High,Regular School,WA,2016-2017,98642,22.0818070818071
43301.0,0.769188596491228,0.41799709724238,0.289224952741021,0.057681641708264,High,Regular School,IN,2016-2017,46240,22.3064713064713
33831.0,0.60782967032967,0.560606060606061,0.38135593220339,0.0883757961783439,High,Regular School,TN,2016-2017,38104,17.7
66290.0,0.570223534373682,0.319236016371078,0.648300117233294,0.0930122757318225,High,Regular School,NJ,2016-2017,8021,19.1025641025641
75539.0,0.773693693693694,0.0904942965779468,0.833896016205267,0.0577812018489985,High,Regular School,OH,2016-2017,43571,23.0
41136.0,0.614935822637106,0.38319783197832,0.536054421768707,0.0756906077348066,High,Regular School,TX,2016-2017,75067,20.8852258852259
34408.0,0.376584638329605,0.401326699834163,0.593511450381679,0.126024590163934,High,Regular School,TN,2016-2017,37030,18.7
171000.0,0.957697983275947,0.159950402975821,0.957230142566191,0.0458265139116203,High,Regular School,IL,2016-2017,60302,23.8
